source,property_id,title,compound,area,developer,property_type,bedrooms,bathrooms,size_sqm,finishing,ready_by,min_price,currency,min_down_payment,installment_percentage,installment_type,listing_type,location,latitude,longitude,url,photo_url
propertyfinder,d6a9f4c4-2c0d-4f81-aed6-4e70e796b67f,Q Bay,Q Bay,"Matrouh,Al Alamen",Q Developments,"apartment, townhouse, villa","1, 2, 3, 4, 5",,,,2029-12-31T00:54:30.425Z,4800000,EGP,480000.0,10,,buy,"Matrouh,Al Alamen",30.82260206,28.95548701,https://www.propertyfinder.eg/en/new-projects/q-developments/q-bay,https://new-projects-media.propertyfinder.com/project/d6a9f4c4-2c0d-4f81-aed6-4e70e796b67f/gallery/image/GFy_edGqgYHhGvtPvUOW-_GoGJMjn8bFFYpxuEIpXuk=/medium.webp
propertyfinder,d2483468-f1c9-4bbb-937b-132ed4db9e2e,IL Monte Galala Marina Towers,IL Monte Galala Marina Towers,"Suez,Al Ain Al Sokhna,IL Monte Galala",Tatweer Misr,"apartment, penthouse","0, 1, 2, 3",,,,2030-12-31T18:39:07.066Z,8000000,EGP,800000.0,10,,buy,"Suez,Al Ain Al Sokhna,IL Monte Galala",29.503795,32.410919,https://www.propertyfinder.eg/en/new-projects/tatweer-misr/marina-towers,https://new-projects-media.propertyfinder.com/project/d2483468-f1c9-4bbb-937b-132ed4db9e2e/gallery/image/AYuvz_NYyes6rW9VTWDxDrMXP57O4r7NUz3ZX-ccrAM=/medium.webp
propertyfinder,6e696ad7-a313-4cbc-b8b7-673cc5ed2e9d,Alveo - Noi,Alveo - Noi,"Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,NOI Residence",Urban Developments,,,,,,,5500000,EGP,,,,buy,"Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,NOI Residence",30.0240025892,31.5188641,https://www.propertyfinder.eg/en/new-projects/urban-developments/alveo-noi,https://new-projects-media.propertyfinder.com/project/6e696ad7-a313-4cbc-b8b7-673cc5ed2e9d/gallery/image/AWMkfDjs4JU3IjdYTwWv3Db_KBvhBM89W1i04a0pUL8=/medium.webp
propertyfinder,3746262b-f34d-45bb-a46f-34d40990898d,Cleo Water Residences,Cleo Water Residences,"Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,Palm Hills New Cairo",Palm Hills,apartment,"1, 2, 3",,,,2030-12-30T23:31:09.789Z,6498100,EGP,194943.0,3,,buy,"Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,Palm Hills New Cairo",30.012272,31.579515,https://www.propertyfinder.eg/en/new-projects/palm-hills/cleo-water-residences,https://new-projects-media.propertyfinder.com/project/3746262b-f34d-45bb-a46f-34d40990898d/gallery/image/X0vuBLY9bqKX6NOjEAlqEtYRr6HCDgQaMRw79cKcpOE=/medium.webp
propertyfinder,4eac1a7c-8d31-4a62-b35c-55cca7f9ac56,Village De La Capitale,Village De La Capitale,"Cairo,New Capital City",Palm Hills,,,,,,2031-12-31T10:24:21.883Z,5500000,EGP,110000.0,2,,buy,"Cairo,New Capital City",30.001226,31.709683,https://www.propertyfinder.eg/en/new-projects/palm-hills/village-de-la-capitale,https://new-projects-media.propertyfinder.com/project/4eac1a7c-8d31-4a62-b35c-55cca7f9ac56/gallery/image/-bvHmuOJiBiEN6jgLaV0i0HyT7kvnwywzrOMpUhsPnI=/medium.webp
propertyfinder,b20b0954-7e37-48d3-9c99-3e13e154ad4e,Waterfront Residences,Waterfront Residences,"Giza,Sheikh Zayed City,New Zayed City,Belle Vie",Emaar Misr,apartment,"1, 2, 3",,,,2026-12-31T07:52:26.134Z,8500000,EGP,,,,buy,"Giza,Sheikh Zayed City,New Zayed City,Belle Vie",30.0626211,30.8917422,https://www.propertyfinder.eg/en/new-projects/emaar-misr/waterfront-residences,https://new-projects-media.propertyfinder.com/project/b20b0954-7e37-48d3-9c99-3e13e154ad4e/gallery/image/GI3hactYKmPMTwAv6mKjTtRWDeC12EsMTFTfc8UPhSc=/medium.webp
propertyfinder,d75e31f1-136b-4386-9edf-8e2cbe1c6635,The Sage - One33,The Sage - One33,"Giza,6 October City,6 October Compounds,One33",Arkan Palm Development,,,,,,2027-12-31T08:30:00.735Z,3700000,EGP,185000.0,5,,buy,"Giza,6 October City,6 October Compounds,One33",30.001989,30.939703,https://www.propertyfinder.eg/en/new-projects/arkan-palm-development/the-sage-one33,https://new-projects-media.propertyfinder.com/project/d75e31f1-136b-4386-9edf-8e2cbe1c6635/gallery/image/QsT4IGN0f8x9gMs6N9d4TeqGD_r4UZid3WlIejeFURQ=/medium.webp
propertyfinder,163c08e7-7b39-45e2-8d06-2f5d63843a9d,N Line Suites,N Line Suites,"Cairo,New Cairo City,The 6th Settlement",N Developments,apartment,"0, 1, 2",,,,,2800000,EGP,112000.0,4,,buy,"Cairo,New Cairo City,The 6th Settlement",29.966757,31.569404,https://www.propertyfinder.eg/en/new-projects/n-developments/n-line-suites,https://new-projects-media.propertyfinder.com/project/163c08e7-7b39-45e2-8d06-2f5d63843a9d/gallery/image/NEHk_Qj-NXX9QaALv7bvqpuqZcF6ZPqRtwoVzJ4T9vE=/medium.webp
propertyfinder,6bb20f10-9cb5-4e30-9ec8-2e65a289c96e,Boulevard Hills,Boulevard Hills,"Giza,6 October City",Al Amar Group,villa,5,,,,2029-12-31T16:29:05.694Z,11952000,EGP,597600.0,10,,buy,"Giza,6 October City",29.95790912,30.91575801,https://www.propertyfinder.eg/en/new-projects/al-amar-group/boulevard-hills,https://new-projects-media.propertyfinder.com/project/6bb20f10-9cb5-4e30-9ec8-2e65a289c96e/gallery/image/JpoychtcrKiqbnqDlHH3eYjzvn-fwXIyQkWvJKCDZQk=/medium.webp
propertyfinder,6c773827-19c3-4e83-870f-1b639d63039e,Ogma Azha North Coast,Ogma Azha North Coast,"North Coast,Ras Al Hekma,Azha North",Madaar,"penthouse, apartment","1, 2, 3",,,,2030-12-31T18:44:14.314Z,11290510,EGP,338715.0,3,,buy,"North Coast,Ras Al Hekma,Azha North",31.093267,27.924696,https://www.propertyfinder.eg/en/new-projects/madaar/ogma-azha-north-coast,https://new-projects-media.propertyfinder.com/project/6c773827-19c3-4e83-870f-1b639d63039e/gallery/image/cLveLxUKSiXMFvhCbm-Igo95okD3rLreXX68oJFmtEc=/medium.webp
propertyfinder,e43fda2b-b1d1-4e7b-8421-986a399c8a6d,Aspen II,Aspen II,"Giza,Sheikh Zayed City,Sheikh Zayed Compounds,Cairo Gate",Emaar Misr,apartment,5,,,,2026-12-31T08:31:58.072Z,0,EGP,,,,buy,"Giza,Sheikh Zayed City,Sheikh Zayed Compounds,Cairo Gate",30.055613,31.026346,https://www.propertyfinder.eg/en/new-projects/emaar-misr/aspen-ii,https://new-projects-media.propertyfinder.com/project/e43fda2b-b1d1-4e7b-8421-986a399c8a6d/gallery/image/dWY6VrQgyuOztk_AftnxK3sWfFsYPb-vDiVsoa6YJm4=/medium.webp
propertyfinder,32a6b5ec-de31-4895-943f-14497e63ff82,Can Limon Kai Sokhna,Can Limon Kai Sokhna,"Suez,Al Ain Al Sokhna,Kai Sokhna",Misr Italia,"apartment, penthouse","1, 2, 3, 4",,,,2026-09-30T07:33:55.855Z,6890000,EGP,689000.0,10,,buy,"Suez,Al Ain Al Sokhna,Kai Sokhna",29.20935838871,32.62503757302,https://www.propertyfinder.eg/en/new-projects/misr-italia/can-limon-kai-sokhna,https://new-projects-media.propertyfinder.com/project/32a6b5ec-de31-4895-943f-14497e63ff82/gallery/image/DX3OcxZBB9u_t_II8rYP_UatrGhzwFpq449jc1psCIY=/medium.webp
propertyfinder,5d644350-a915-4fbe-ad94-223f02c9a809,Vea,Vea,"Cairo,New Cairo City,The 6th Settlement",IL Cazar Developments,"villa, townhouse","3, 4",,,,2029-12-31T07:14:05.908Z,12420000,EGP,621000.0,5,,buy,"Cairo,New Cairo City,The 6th Settlement",29.966757,31.569404,https://www.propertyfinder.eg/en/new-projects/il-cazar-developments/vea,https://new-projects-media.propertyfinder.com/project/5d644350-a915-4fbe-ad94-223f02c9a809/gallery/image/kcVfslEb8F6mvIwfO876MvKvk0YfdOVOk3yigpYFmNA=/medium.webp
propertyfinder,7748fb9e-194b-4bfc-b45f-aaeb0ad8c5a0,Grand Lane,Grand Lane,"Cairo,New Cairo City,The 6th Settlement,Grand Lane",Housing and Development Company for Real Estate,"villa, apartment, townhouse","2, 3, 4",,,,2030-12-31T12:02:05.112Z,4070101,EGP,203505.0,5,,buy,"Cairo,New Cairo City,The 6th Settlement,Grand Lane",29.9367328921,31.5457757202,https://www.propertyfinder.eg/en/new-projects/housing-and-development-company-for-real-estate/grand-lane,https://new-projects-media.propertyfinder.com/project/7748fb9e-194b-4bfc-b45f-aaeb0ad8c5a0/gallery/image/dRnjoeTl6Mh_PyQDwua9ez84PeoEICUEC5Bv9MetaYE=/medium.webp
propertyfinder,41a37e90-57aa-40f9-9b44-84321cc2b58c,G West,G West,"Giza,Sheikh Zayed City",Engineers Developments,"apartment, duplex","1, 2, 3, 4",,,,2029-12-31T11:09:04.16Z,2625000,EGP,131250.0,10,,buy,"Giza,Sheikh Zayed City",30.04056643,30.99054337,https://www.propertyfinder.eg/en/new-projects/engineers-developments/g-west,https://new-projects-media.propertyfinder.com/project/41a37e90-57aa-40f9-9b44-84321cc2b58c/gallery/image/s3NmCbIINV3zj2pvaAvCQqaxpmRKFNeouhaAuaqtjr0=/medium.webp
propertyfinder,4d101c5b-0d47-4403-af41-b4896b251536,Rovan City,Rovan City,"Giza,Sheikh Zayed City,Sheikh Zayed Compounds,Rovan",EPD,apartment,"2, 3",,,,2027-06-30T09:40:08.52Z,5890500,EGP,294525.0,5,,buy,"Giza,Sheikh Zayed City,Sheikh Zayed Compounds,Rovan",30.05866354681,31.01771019511,https://www.propertyfinder.eg/en/new-projects/epd/rovan-city,https://new-projects-media.propertyfinder.com/project/4d101c5b-0d47-4403-af41-b4896b251536/gallery/image/Cd5pYkHAZo62mqtz0nD_NUvYE8OG1KHY5YqEq0zwvcw=/medium.webp
propertyfinder,a743abcd-e0a9-45f7-bc13-87b63897a3ce,Park Valley Jouri,Park Valley Jouri,"Giza,6 October City",EFID Developments,villa,3,,,,2029-12-31T15:07:06.425Z,5600000,EGP,560000.0,10,,buy,"Giza,6 October City",29.95790912,30.91575801,https://www.propertyfinder.eg/en/new-projects/efid-developments/park-valley-jouri,https://new-projects-media.propertyfinder.com/project/a743abcd-e0a9-45f7-bc13-87b63897a3ce/gallery/image/f3tNgT9I8BxTP4TinSOpr5d0pZqJ6I_UP9OY0y9UrSs=/medium.webp
propertyfinder,b8349f36-807f-43df-a8fc-574846a617d6,Nomad,Nomad,"Cairo,New Cairo City",Maraf Developments,apartment,"1, 2, 3",,,,2029-12-31T09:29:39.7Z,2100000,EGP,210000.0,10,,buy,"Cairo,New Cairo City",30.04074712,31.47093773,https://www.propertyfinder.eg/en/new-projects/maraf-developments/nomad,https://new-projects-media.propertyfinder.com/project/b8349f36-807f-43df-a8fc-574846a617d6/gallery/image/4v_k7TdUiixlrkkl7Y1VsfHThzz-peJnC-nV7KEV8Eg=/medium.webp
propertyfinder,d639e160-7d51-45bd-a29f-bbefbd6b9fd9,The Notch IV,The Notch IV,"Giza,Sheikh Zayed City,New Zayed City",PTC Real Estate Development,villa,3,,,,2030-06-30T09:18:03.841Z,3575000,EGP,357500.0,10,,buy,"Giza,Sheikh Zayed City,New Zayed City",30.112012,30.74764,https://www.propertyfinder.eg/en/new-projects/ptc-real-estate-development/the-notch-4,https://new-projects-media.propertyfinder.com/project/d639e160-7d51-45bd-a29f-bbefbd6b9fd9/gallery/image/_EbNSLi_0K8aGIoxbTTiefJ1gD_RRotHr6o7bqZJdnI=/medium.webp
propertyfinder,e5e8e6a6-eb17-4a83-a28d-8ad5ea97f773,Siyal Makadi Heights,Siyal Makadi Heights,"Red Sea,Hurghada,Makadi,Makadi Orascom Resort,Makadi Heights",Orascom Development,"apartment, townhouse, villa","3, 4, 5",,,,2029-01-31T08:36:34.889Z,22695000,EGP,2269500.0,10,,buy,"Red Sea,Hurghada,Makadi,Makadi Orascom Resort,Makadi Heights",27.1704370309,33.8692341238,https://www.propertyfinder.eg/en/new-projects/orascom-development/siyal-makadi-heights,https://new-projects-media.propertyfinder.com/project/e5e8e6a6-eb17-4a83-a28d-8ad5ea97f773/gallery/image/WHvucrnwucf6fn1M-VtDQcCd-ZoA9JFKVCyNNxsOoxI=/medium.webp
propertyfinder,0a3746bd-d314-4f15-ab69-47c5fd6ddf08,Stella Di Mare,Stella Di Mare,"Suez,Al Ain Al Sokhna,Stella Di Mare,Stella Di Mare 1",Remco for Real Estate,"apartment, villa",3,,,,2027-12-30T23:03:23.14Z,6200000,EGP,1550000.0,25,,buy,"Suez,Al Ain Al Sokhna,Stella Di Mare,Stella Di Mare 1",29.672301,32.357241,https://www.propertyfinder.eg/en/new-projects/remco-for-real-estate/stella-di-marie,https://new-projects-media.propertyfinder.com/project/0a3746bd-d314-4f15-ab69-47c5fd6ddf08/gallery/image/PwHNixE6FRHWNao1MJnQ2iW_f5WJyCdNEpS-HYlqtlQ=/medium.webp
propertyfinder,1fb75c96-6fb5-494c-9dd3-b3067b4cda86,Ta-Meri Residence,Ta-Meri Residence,"Cairo,Nasr City",IUNU Developments,"apartment, duplex","1, 2, 3",,,,2029-07-31T09:40:00.041Z,1965019,EGP,196502.0,10,,buy,"Cairo,Nasr City",30.05627988,31.33063853,https://www.propertyfinder.eg/en/new-projects/iunu-developments/ta-meri-residence,https://new-projects-media.propertyfinder.com/project/1fb75c96-6fb5-494c-9dd3-b3067b4cda86/gallery/image/fyljV79ywPPFATVBvqqbWSZjCeWkROz8NJNM6wpcjts=/medium.webp
propertyfinder,9df1823d-3102-4c33-bda6-c87d9fb43d9c,Cityzen,Cityzen,"Cairo,Mostakbal City - Future City,Mostakbal City Compounds,Cityzen",Alqamzi,,,,,,2029-12-30T23:06:46.473Z,3700000,EGP,185000.0,5,,buy,"Cairo,Mostakbal City - Future City,Mostakbal City Compounds,Cityzen",30.0668429275,31.6426200841,https://www.propertyfinder.eg/en/new-projects/alqamzi/cityzen,https://new-projects-media.propertyfinder.com/project/9df1823d-3102-4c33-bda6-c87d9fb43d9c/gallery/image/6x4zH4det9PEdBitKhZyIZnkx161Wji0jT7TTDFXrNE=/medium.webp
propertyfinder,9ed0c57f-0da5-41d4-a0e8-c46823057fd3,Ev,Ev,"Giza,Sheikh Zayed City",ALOULA Group,,,,,,2029-12-31T10:41:18.546Z,3192000,EGP,319200.0,10,,buy,"Giza,Sheikh Zayed City",30.04056643,30.99054337,https://www.propertyfinder.eg/en/new-projects/aloula-group/ev,https://new-projects-media.propertyfinder.com/project/9ed0c57f-0da5-41d4-a0e8-c46823057fd3/gallery/image/6Oc2UYYcSMFxRu93RfhzIuXuygP9aJ8NcYgg4fnubC0=/medium.webp
propertyfinder,fcb5d38c-36d3-4088-aa4f-ce4cb32b1de5,Montania Gardens,Montania Gardens,"Giza,Sheikh Zayed City,New Zayed City",Everest View,"townhouse, penthouse, villa","3, 4",,,,2028-07-31T10:35:09.014Z,6072000,EGP,303600.0,5,,buy,"Giza,Sheikh Zayed City,New Zayed City",30.112012,30.74764,https://www.propertyfinder.eg/en/new-projects/everest-view/montania-gardens,https://new-projects-media.propertyfinder.com/project/fcb5d38c-36d3-4088-aa4f-ce4cb32b1de5/gallery/image/bgeuNB6mrFgjg4i1fucGnECyqqGztQ9RMx0kI-pqn5k=/medium.webp
propertyfinder,126f93e7-696e-4b9e-923b-d46167b57cac,Viva coast,Viva coast,"Suez,Al Ain Al Sokhna",Red Sea Safari Development,,,,,,2025-12-31T18:10:39.917Z,3700000,EGP,185000.0,5,,buy,"Suez,Al Ain Al Sokhna",29.63411827,32.32915878,https://www.propertyfinder.eg/en/new-projects/red-sea-safari-development/viva-coast,https://new-projects-media.propertyfinder.com/project/126f93e7-696e-4b9e-923b-d46167b57cac/gallery/image/rxdCK2OVNkOd1ATPjSvPW9ZwNxZ3Nc4Akydq6NTyHjc=/medium.webp
propertyfinder,513f156f-f890-47af-b481-9e07032a2967,Hacienda Bay Golf Views,Hacienda Bay Golf Views,"North Coast,Sidi Abdel Rahman,Hacienda Bay",Palm Hills,,,,,,2028-12-31T21:00:00Z,18164000,EGP,908200.0,5,,buy,"North Coast,Sidi Abdel Rahman,Hacienda Bay",30.95071664,28.78922224,https://www.propertyfinder.eg/en/new-projects/palm-hills/hacienda-bay-golf-views,https://new-projects-media.propertyfinder.com/project/513f156f-f890-47af-b481-9e07032a2967/gallery/image/cGS8DXBj1F9d9JZgzfsX4UPSjF2lX6F1LWsTQZ30CXg=/medium.webp
propertyfinder,bb3f6180-5563-4d78-a19f-9d646251adbb,Andalus,Andalus,"Cairo,New Cairo City,Al Andalus District",Alfa Development,,,,,,,4700000,EGP,2350000.0,50,,buy,"Cairo,New Cairo City,Al Andalus District",29.992187,31.519357,https://www.propertyfinder.eg/en/new-projects/alfa-development/andalus,https://new-projects-media.propertyfinder.com/project/bb3f6180-5563-4d78-a19f-9d646251adbb/gallery/image/9OOKI0czbxBlDuAod4BLYThnvNqj-suVqUm6-UUkNOU=/medium.webp
propertyfinder,912f11fb-1927-4877-8b8f-db3634a9558d,O Nine,O Nine,"Giza,6 October City,O NINE by Miqaat Developments",miqaat development,apartment,"1, 2",,,,2029-12-31T11:59:55.394Z,2925000,EGP,146250.0,5,,buy,"Giza,6 October City,O NINE by Miqaat Developments",29.9950943829,30.9524530434,https://www.propertyfinder.eg/en/new-projects/miqaat-development/o-nine,https://new-projects-media.propertyfinder.com/project/912f11fb-1927-4877-8b8f-db3634a9558d/gallery/image/xRhueU64KRV-HHsGZ7DIulF4sXzY2IgLR-KnzzYZXKQ=/medium.webp
propertyfinder,7f2452ab-f9d5-4175-91ee-ff59218b7f0c,Jefaira Furl II,Jefaira Furl II,"North Coast,Ras Al Hekma,Jefaira",INERTIA,"apartment, villa",3,,,,2027-12-31T08:32:26.238Z,14487000,EGP,724350.0,5,,buy,"North Coast,Ras Al Hekma,Jefaira",31.070029,28.137069,https://www.propertyfinder.eg/en/new-projects/inertia/jefaira-furl-ii,https://new-projects-media.propertyfinder.com/project/7f2452ab-f9d5-4175-91ee-ff59218b7f0c/gallery/image/2hh7n4rUl4nU7Pkrp-Si6DoJsyfIy7XlXb7v3aJ4IU8=/medium.webp
propertyfinder,8a0a3c45-9a6b-483b-a5b8-bd2d9e58a54a,New Narges,New Narges,"Cairo,New Cairo City,New Narges",Alfa Development,,,,,,2025-09-30T07:40:12.413Z,4800000,EGP,2400000.0,50,,buy,"Cairo,New Cairo City,New Narges",29.9942242,31.4535382,https://www.propertyfinder.eg/en/new-projects/alfa-development/new-narges,https://new-projects-media.propertyfinder.com/project/8a0a3c45-9a6b-483b-a5b8-bd2d9e58a54a/gallery/image/x_Y-FCyBCHOwY97NLI7le-fRL-DdzouxN8IDxohYaEA=/medium.webp
propertyfinder,5d1a3e1d-59df-4cce-a379-e0ebbf1367dc,Crown Properties,Crown Properties,"Giza,Sheikh Zayed City",Crown Develpments,,,,,,2026-12-31T08:37:43.853Z,0,EGP,,,,buy,"Giza,Sheikh Zayed City",30.04056643,30.99054337,https://www.propertyfinder.eg/en/new-projects/crown-develpments/crown-properties,https://new-projects-media.propertyfinder.com/project/5d1a3e1d-59df-4cce-a379-e0ebbf1367dc/gallery/image/tyIkf7E8xje_i4ru9oz6KYCSEgmabolXggZeDYrM7XU=/medium.webp
propertyfinder,d37d83ab-3ea4-409e-9502-12af78395423,Bamboo III,Bamboo III,"Giza,6 October City,26th of July Corridor,Bamboo Palm Hills",Palm Hills,,,,,,2029-12-31T14:30:30.37Z,23473000,EGP,1173650.0,5,,buy,"Giza,6 October City,26th of July Corridor,Bamboo Palm Hills",30.007723,31.021902,https://www.propertyfinder.eg/en/new-projects/palm-hills/bamboo-iii,https://new-projects-media.propertyfinder.com/project/d37d83ab-3ea4-409e-9502-12af78395423/gallery/image/7BWVyCRlHJ0029o_Up7n1xeDKbBkBL9xIhXAA916EsU=/medium.webp
propertyfinder,e8638eb0-c2cc-4ee6-931e-fe5f9a28c928,Greenville 2,Greenville 2,"Giza,Sheikh Zayed City,New Zayed City",PTC Real Estate Development,villa,3,,,,2030-06-30T10:03:43.716Z,4500000,EGP,450000.0,10,,buy,"Giza,Sheikh Zayed City,New Zayed City",30.112012,30.74764,https://www.propertyfinder.eg/en/new-projects/ptc-real-estate-development/greenville-2,https://new-projects-media.propertyfinder.com/project/e8638eb0-c2cc-4ee6-931e-fe5f9a28c928/gallery/image/bccN-dkoYQCDg9PwE0jrJdFhDrk9K6VqgPGL3fkYFCs=/medium.webp
propertyfinder,1d0b7580-0459-4a7d-a7f1-d559df977ca6,Pyramids Wales,Pyramids Wales,"Giza,6 October City,Pyramids Wales",GUP DEVELOPMENTS,apartment,"0, 1, 2, 3",,,,2026-06-30T09:11:12.884Z,1113750,EGP,278438.0,25,,buy,"Giza,6 October City,Pyramids Wales",30.0064,31.10118,https://www.propertyfinder.eg/en/new-projects/gup-developments/pyramids-wales,https://new-projects-media.propertyfinder.com/project/1d0b7580-0459-4a7d-a7f1-d559df977ca6/gallery/image/w_jLj_zVROyjutJ2fVVI9kgYfuSx5ksFeIxhBosBqEc=/medium.webp
propertyfinder,8da8a421-2f64-4770-80f3-d0636851d2da,Zayed Lagoons,Zayed Lagoons,"Giza,Sheikh Zayed City",Roshdy Group,apartment,"2, 3",,,,2028-12-31T15:06:10.963Z,0,EGP,,10,,buy,"Giza,Sheikh Zayed City",30.04056643,30.99054337,https://www.propertyfinder.eg/en/new-projects/roshdy-group/zayed-lagoons,https://new-projects-media.propertyfinder.com/project/8da8a421-2f64-4770-80f3-d0636851d2da/gallery/image/FQ2zA46IwQOlzzLzGuXqgGHXkwSkBgCumaModlXBgjg=/medium.webp
propertyfinder,6e82ce3d-7a95-4297-8fb2-0d1188755089,Joulz IV,Joulz IV,"Giza,6 October City,Cairo Alexandria Desert Road,Joulz",INERTIA,,,,,,2029-12-31T14:44:03.346Z,13508000,EGP,675400.0,5,,buy,"Giza,6 October City,Cairo Alexandria Desert Road,Joulz",30.0070086,31.04263,https://www.propertyfinder.eg/en/new-projects/inertia/joulz-iv,https://new-projects-media.propertyfinder.com/project/6e82ce3d-7a95-4297-8fb2-0d1188755089/gallery/image/_mb4wRn79v8oxCccL0q9bqZOf6JYQuH1n-HpuDH6E-0=/medium.webp
propertyfinder,eb2117b8-ec0e-4bad-98f2-8a3df74c20ba,South Academy,South Academy,"Cairo,New Cairo City",El Nemr Group,villa,2,,,,,7500000,EGP,,,,buy,"Cairo,New Cairo City",30.04074712,31.47093773,https://www.propertyfinder.eg/en/new-projects/el-nemr-group/south-academy,https://new-projects-media.propertyfinder.com/project/eb2117b8-ec0e-4bad-98f2-8a3df74c20ba/gallery/image/W80S0PDRjEk_-r4SMWZQ4Q66AEDpExgVn72oHWspyhk=/medium.webp
propertyfinder,fd111143-75d8-4149-a171-ea46b3de73cc,Palm Hills New Cairo_Phase 5A,Palm Hills New Cairo_Phase 5A,"Cairo,New Cairo City",Palm Hills,,,,,,2028-06-30T11:30:00Z,10418000,EGP,1041800.0,10,,buy,"Cairo,New Cairo City",30.04074712,31.47093773,https://www.propertyfinder.eg/en/new-projects/palm-hills/palm-hills-new-cairo_phase-5a,https://new-projects-media.propertyfinder.com/project/fd111143-75d8-4149-a171-ea46b3de73cc/gallery/image/oG0exF9w3o_JRlOaUtij_lwwTV6jNPDnQ1nU2MPhg4U=/medium.webp
propertyfinder,31e494ea-56c0-47e0-ac23-0f464b94cd23,Golf Town,Golf Town,"Cairo,New Cairo City,The 6th Settlement",Modon Developments,"villa, apartment","0, 1, 2, 3, 4, 5",,,,2029-12-31T10:26:44.703Z,4300000,EGP,430000.0,10,,buy,"Cairo,New Cairo City,The 6th Settlement",29.966757,31.569404,https://www.propertyfinder.eg/en/new-projects/modon-developments/golf-town,https://new-projects-media.propertyfinder.com/project/31e494ea-56c0-47e0-ac23-0f464b94cd23/gallery/image/NK3tbDUIfuY8Rj2_oxZvpfUu130BoCQ4__rK-u8utyo=/medium.webp
propertyfinder,2b9f2341-0ed2-460b-ad15-d45654180608,Park Valley Sova,Park Valley Sova,"Giza,Sheikh Zayed City,New Zayed City",EFID Developments,villa,2,,,,2028-12-31T15:08:28.354Z,4250000,EGP,425000.0,10,,buy,"Giza,Sheikh Zayed City,New Zayed City",30.112012,30.74764,https://www.propertyfinder.eg/en/new-projects/efid-developments/park-valley-sova,https://new-projects-media.propertyfinder.com/project/2b9f2341-0ed2-460b-ad15-d45654180608/gallery/image/SS4VoZokAPi2LMs-QbMBC-FyB1LXSvVUgZgRYhPRlOs=/medium.webp
propertyfinder,3cc35bd2-6e02-4cf2-a9f6-98751352940b,Flair Townhomes in Mivida Gardens By Emaar,Flair Townhomes in Mivida Gardens By Emaar,"Cairo,Mostakbal City - Future City,Mivida Gardens",Emaar Misr,,,,,,2029-12-31T14:26:00.889Z,0,EGP,,,,buy,"Cairo,Mostakbal City - Future City,Mivida Gardens",30.0520376266,31.7146524372,https://www.propertyfinder.eg/en/new-projects/emaar-misr/flair-townhomes-in-mivida-gardens-by-emaar,https://new-projects-media.propertyfinder.com/project/3cc35bd2-6e02-4cf2-a9f6-98751352940b/gallery/image/JFf_e7vW9tHZyADE8MAZ27REvHtiAYmlSuNHRpS7WkY=/medium.webp
